"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellType","Condition"
"R-HSA-156842","Eukaryotic Translation Elongation",89,0.552300784185913,2.01815527983142,5.14659313302373e-06,0.00145288758884157,0.00136143158339248,2253,"tags=88%, list=43%, signal=51%","RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/EEF1B2/RPS5/EEF1G/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/EEF1D/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/EEF2/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/EEF1A1/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-72764","Eukaryotic Translation Termination",87,0.549234366860406,2.00654103440381,4.00881999911925e-06,0.00145288758884157,0.00136143158339248,2253,"tags=86%, list=43%, signal=50%","RPS27L/RPL26L1/RPS4Y1/TRMT112/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/ETF1/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-156902","Peptide chain elongation",86,0.550318213094743,2.00471908108618,6.07526125521564e-06,0.00145288758884157,0.00136143158339248,2253,"tags=87%, list=43%, signal=51%","RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/EEF2/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/EEF1A1/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",90,0.538916266847388,1.97449415819153,3.56674819285639e-06,0.00145288758884157,0.00136143158339248,2253,"tags=84%, list=43%, signal=49%","NCBP2/RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/ETF1/RPS5/RPS23/RPL9/UPF1/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-72766","Translation",252,0.426645050443238,1.76467894375942,6.59204895118681e-06,0.00145288758884157,0.00136143158339248,1610,"tags=43%, list=30%, signal=32%","MRPL22/MRPL18/EIF3B/MRPS35/MRPL36/PSMD6/DDOST/MRPL34/GFM1/PSMD8/MRPL37/PSMA5/LTN1/MRPL50/RPS27L/EIF3I/EIF3F/MRPS6/PSMD12/PSMC2/RPL26L1/DAP3/SEC11C/CUL2/RPS4Y1/EIF4H/MRPS30/EIF3D/IARS2/TUFM/TRMT112/MRPS26/RPL27A/RPS13/RPL22L1/RPL7A/CHCHD1/PSMB1/PSMB6/SPCS1/RPLP2/ETF1/PSMB3/SSR2/MRPS18A/EEF1B2/AURKAIP1/SSR4/PSMB7/RPS5/EEF1G/RPS23/RPL9/EIF4A1/PSMA2/RPL35A/RPL30/RPS9/RPL18A/RPL3/SEC61A1/RPL39/MRPL54/EIF5/RPS15/MRPS7/RPL15/NDUFAB1/RPL26/MRPS23/UBB/RPL10/PSMD2/PSMA7/KLHDC10/RBX1/RPS3A/RPL31/RPLP0/ELOB/RPS19/PSMB4/MRPL52/SEC61G/RPS16/FAU/RPL27/EIF3M/RPS4X/EEF1D/UBC/PSMA4/RPL19/RPS8/RPS3/RPL23/MRPL33/RPL37A/MRPS18C/RPL37/EEF2/RPS21/RPL5/MRPS24/RPL34/RPL36/RPL23A/RPL8/RPS24","EC_AEA","T1D_vs_LC"
"R-HSA-192823","Viral mRNA Translation",86,0.542966898561,1.97793944674701,1.01321749472092e-05,0.00186094279863741,0.00174380063565126,2253,"tags=86%, list=43%, signal=50%","RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/DNAJC3/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",135,0.475670510272523,1.84909840732556,1.60731076269552e-05,0.00253036637212923,0.0023710855010591,2261,"tags=76%, list=43%, signal=45%","NCBP2/PSMD6/MAGOH/PSMD8/PSMA5/RPS27L/PSMD12/PSMC2/RPL26L1/CUL2/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/PSMB1/PSMB6/DAG1/RPLP2/ETF1/PSMB3/PSMB7/RPS5/RPS23/RPL9/PSMA2/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RNPS1/RPL26/ZSWIM8/UBB/RPL10/PSMD2/PSMA7/RBX1/RPS3A/RPL31/RPLP0/ELOB/RPS19/PSMB4/RPS16/FAU/RPL27/RPS4X/UBC/PSMA4/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/SEM1/RPLP1/RPS12/PSMD14/RPS28/RPS6/RPL28/RPL10A/PSMA6/RPS29/RPL13/USP33/RPL12/RPL22/RPL41/RPL38/PSMA1","EC_AEA","T1D_vs_LC"
"R-HSA-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",86,0.522943088057314,1.9049959859681,3.81314018271755e-05,0.00525260060169342,0.0049219612095341,2253,"tags=85%, list=43%, signal=50%","RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-72689","Formation of a pool of free 40S subunits",97,0.498784415269221,1.86044579598533,5.95870919023388e-05,0.00729610836404192,0.00683683475511045,2253,"tags=84%, list=43%, signal=49%","EIF3B/RPS27L/EIF3I/EIF3F/RPL26L1/RPS4Y1/EIF3D/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/EIF3M/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/EIF1AX/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/EIF3K/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/EIF3A/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-9609507","Protein localization",68,0.530546108998354,1.88043764934959,0.000132544422913225,0.00859199729708082,0.00805115039491478,923,"tags=38%, list=17%, signal=32%","ALDH3A2/PEX13/PEX2/GET3/DNAJC19/CHCHD5/ATAD1/MTX2/SGTA/SCP2/SERP1/TOMM22/CAT/GNPAT/ACO2/ECI2/TOMM20/CHCHD10/TOMM7/IDH3G/NDUFB8/CMC2/PAM16/LONP2/TIMM8B/HSPD1","EC_AEA","T1D_vs_LC"
"R-HSA-9954716","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA",89,0.512159979525527,1.87147727541495,7.83382595584866e-05,0.00859199729708082,0.00805115039491478,2253,"tags=84%, list=43%, signal=49%","RPS27L/RPL26L1/RPS4Y1/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/UBB/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/UBC/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency",91,0.493211245061817,1.81036073977863,0.000128189738521901,0.00859199729708082,0.00805115039491478,2253,"tags=82%, list=43%, signal=48%","RPS27L/RPL26L1/RPS4Y1/CEBPG/RPL27A/RPS13/RPL22L1/RPL7A/RPLP2/RPS5/RPS23/RPL9/RPL35A/RPL30/RPS9/RPL18A/RPL3/RPL39/RPS15/RPL15/RPL26/RPL10/RPS3A/RPL31/RPLP0/RPS19/RPS16/FAU/RPL27/RPS4X/RPL19/RPS8/RPS3/RPL23/RPL37A/RPL37/RPS21/RPL5/RPL34/RPL36/RPL23A/RPL8/RPS24/RPL35/RPL36A/RPS18/RPS17/RPSA/RPS15A/RPL24/RPS14/RPS7/RPL21/RPL29/RPS27A/RPS10/RPS11/RPL14/RPS25/RPL13A/RPL4/RPL32/RPLP1/RPS12/RPS28/ATF2/RPS6/RPL28/RPL10A/RPS29/RPL13/RPL12/RPL22/RPL41/RPL38","EC_AEA","T1D_vs_LC"
