"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellType","Condition"
"R-HSA-72766","Translation",270,0.44851395086194,2.03042909828715,1.67745612078793e-10,1.82507225941727e-07,1.42318908774218e-07,1502,"tags=45%, list=29%, signal=34%","MRPS6/RPL26L1/MRPL40/SEC11C/MRPS11/UFD1/MRPL14/MRPL54/MRPL22/MRPS12/PSMB5/PSMB3/MRPS16/MRPS14/MRPS34/GADD45GIP1/PELO/MRPL28/SSR4/MRPS18C/PSMD6/EIF3I/PSMB6/ETF1/SEC61A1/PSMC4/RPS4Y1/MRPL38/MRPL17/MRPL13/MRPS15/SEC61B/PSMC6/MRPL16/PSMB7/MRPL4/EIF2S2/PSMA4/MRPS5/PSMD2/MRPL33/GSPT1/CHCHD1/AURKAIP1/TUFM/PSMB1/MRPL2/RPN2/PSMA6/MRPS24/RPSA/PSMB2/EEF1E1/MRPL36/ADRM1/EEF1B2/MRPL51/PSMC3/RPL36A/MRPL55/RPS10/MRPS26/PPA1/TRMT112/RPL5/PSMD14/RPS4X/MRPL9/ELOB/SSR2/EIF3K/EIF3D/EIF2S1/MRPL42/MTIF3/RPL37A/MRPL41/PSMD7/PSMC5/PSMD3/PSMD13/MRPS23/RPL22L1/UBA52/EEF1G/RPL15/EIF3M/PSMC2/RPS16/FAU/PSMC1/MRPL27/PSMD8/EIF5/RPS3A/EIF4H/SSR1/RPL10A/VCP/PSMA7/MRPL52/EIF3G/MRPL57/RPS13/PSMA2/RPL17/PSMA3/RPL36AL/RPS9/RPL6/MRPL34/EIF4A1/UBB/RPL18/RPL3/RPL8/RPS5/RPL7A/RPN1/RPS2/RPL7","EC_PTC","T1D_vs_LC"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport",162,0.500932842900629,2.14619829579575,2.10730926119589e-09,1.14637623809056e-06,8.93942770802045e-07,1193,"tags=49%, list=23%, signal=39%","NDUFS8/SURF1/COX5A/UQCR10/COX14/NDUFS3/PDHB/UQCRFS1/NDUFA7/NDUFB11/MPC2/NDUFB9/LDHB/NDUFA6/RAB5IF/NDUFS2/HIGD2A/PNKD/ATP5MG/TMEM223/ETFB/COX7B/NNT/UQCRH/NDUFA8/CYC1/HAGH/NDUFB6/UQCRB/NDUFA3/ISCU/ATP5MC3/COX7A2/ATP5MF/ATP5MC1/UQCC2/COX6C/NDUFB3/COX7A1/COX7C/NDUFA13/ATP5PD/ATP5F1D/COX4I1/NDUFA1/NDUFB10/COX5B/NDUFS6/NDUFB4/PKM/SUCLG1/LDHA/COX6B1/COX11/COX17/NDUFV2/NDUFB8/NDUFB2/VDAC1/TMEM126B/NDUFAF8/NDUFB5/COX6A1/SLC25A11/ATP5PO/NDUFA5/IDH2/UQCRQ/IDH3B/NDUFV1/MPC1/UBA52/ATP5MC2/PYURF/ATP5PF/MDH2/COX8A/ATP5F1A/NDUFAF3","EC_PTC","T1D_vs_LC"
"R-HSA-5389840","Mitochondrial translation elongation",55,0.657881020287818,2.38321360496353,8.36353433539441e-09,3.03317511896971e-06,2.36526620151856e-06,1000,"tags=60%, list=19%, signal=49%","MRPS6/MRPL40/MRPS11/MRPL14/MRPL54/MRPL22/MRPS12/MRPS16/MRPS14/MRPS34/GADD45GIP1/MRPL28/MRPS18C/MRPL38/MRPL17/MRPL13/MRPS15/MRPL16/MRPL4/MRPS5/MRPL33/CHCHD1/AURKAIP1/TUFM/MRPL2/MRPS24/MRPL36/MRPL51/MRPL55/MRPS26/MRPL9/MRPL42/MRPL41","EC_PTC","T1D_vs_LC"
"R-HSA-5368286","Mitochondrial translation initiation",54,0.657250693102658,2.3681101237219,1.90419906311312e-08,5.17942145166767e-06,4.03890643386624e-06,1000,"tags=61%, list=19%, signal=50%","MRPS6/MRPL40/MRPS11/MRPL14/MRPL54/MRPL22/MRPS12/MRPS16/MRPS14/MRPS34/GADD45GIP1/MRPL28/MRPS18C/MRPL38/MRPL17/MRPL13/MRPS15/MRPL16/MRPL4/MRPS5/MRPL33/CHCHD1/AURKAIP1/MRPL2/MRPS24/MRPL36/MRPL51/MRPL55/MRPS26/MRPL9/MRPL42/MTIF3/MRPL41","EC_PTC","T1D_vs_LC"
"R-HSA-9937383","Mitochondrial ribosome-associated quality control",55,0.643328276256724,2.33049541353541,3.8418728470699e-08,6.96659609602009e-06,5.43254300831288e-06,1000,"tags=58%, list=19%, signal=48%","MRPS6/MRPL40/MRPS11/MRPL14/MRPL54/MRPL22/MRPS12/MRPS16/MRPS14/MRPS34/GADD45GIP1/MRPL28/MRPS18C/MRPL38/MRPL17/MRPL13/MRPS15/MRPL16/MRPL4/MRPS5/MRPL33/CHCHD1/AURKAIP1/MRPL2/MRPS24/MRPL36/MRPL51/MRPL55/MRPS26/MRPL9/MRPL42/MRPL41","EC_PTC","T1D_vs_LC"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",138,0.497183396330791,2.06958263833548,3.6056012207722e-08,6.96659609602009e-06,5.43254300831288e-06,2270,"tags=75%, list=43%, signal=44%","RPL26L1/PSMB5/PSMB3/PSMD6/PSMB6/ETF1/PSMC4/RPS4Y1/PSMC6/PSMB7/PSMA4/PSMD2/GSPT1/PSMB1/PSMA6/RPSA/PSMB2/ADRM1/PSMC3/RPL36A/RPS10/RPL5/PSMD14/RPS4X/ELOB/RPL37A/PSMD7/PSMC5/PSMD3/PSMD13/RPL22L1/UBA52/RPL15/PSMC2/RPS16/FAU/PSMC1/PSMD8/RPS3A/RPL10A/RBM8A/PSMA7/NCBP2/RPS13/PSMA2/RPL17/PSMA3/RPL36AL/RPS9/RPL6/UBB/RPL18/RPL3/RPL8/RPS5/RPL7A/RPS2/RPL7/RPL11/RPL18A/RPL24/RPS6/RPL35A/RPL14/RPS3/RPS23/RPL29/RPS15A/ZSWIM8/RPL35/RPS8/RPL23A/RPL4/PSMA5/RPL19/RPS15/RPL23/RPL12/RPS25/RPS14/PSMA1/RPL13A/RBX1/RPS26/RPL32/CUL2/ELOC/RPL9/RPL28/RPLP0/RPL22/RPL37/RPL27A/RPS7/RPS18/PSMD11/RPS12/RPL30/RPLP1/RPS27A/RPS29/RPL27/CASC3/RPL38","EC_PTC","T1D_vs_LC"
"R-HSA-611105","Respiratory electron transport",108,0.526737342646301,2.13213554577316,1.46634770054435e-07,2.27912328313179e-05,1.77725751374248e-05,1193,"tags=52%, list=23%, signal=41%","NDUFS8/SURF1/COX5A/UQCR10/COX14/NDUFS3/UQCRFS1/NDUFA7/NDUFB11/NDUFB9/NDUFA6/RAB5IF/NDUFS2/HIGD2A/PNKD/TMEM223/ETFB/COX7B/UQCRH/NDUFA8/CYC1/NDUFB6/UQCRB/NDUFA3/ISCU/COX7A2/UQCC2/COX6C/NDUFB3/COX7A1/COX7C/NDUFA13/COX4I1/NDUFA1/NDUFB10/COX5B/NDUFS6/NDUFB4/COX6B1/COX11/COX17/NDUFV2/NDUFB8/NDUFB2/TMEM126B/NDUFAF8/NDUFB5/COX6A1/SLC25A11/NDUFA5/UQCRQ/NDUFV1/PYURF/MDH2/COX8A/NDUFAF3","EC_PTC","T1D_vs_LC"
"R-HSA-350562","Regulation of ornithine decarboxylase (ODC)",37,0.685471864689013,2.28553954005011,1.80795075792213e-07,2.4588130307741e-05,1.91737935642795e-05,1383,"tags=76%, list=26%, signal=56%","ODC1/PSMB5/PSMB3/PSMD6/PSMB6/PSMC4/PSMC6/PSMB7/PSMA4/PSMD2/PSMB1/PSMA6/PSMB2/ADRM1/PSMC3/PSMD14/PSMD7/PSMC5/PSMD3/PSMD13/AZIN1/PSMC2/PSMC1/PSMD8/OAZ1/PSMA7/PSMA2/PSMA3","EC_PTC","T1D_vs_LC"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",107,0.511926510987091,2.06956407553837,2.22309201913969e-07,2.68747124091553e-05,2.09568674552817e-05,2270,"tags=76%, list=43%, signal=44%","RPL26L1/SEC11C/SSR4/SEC61A1/RPS4Y1/SEC61B/RPN2/RPSA/RPL36A/RPS10/RPL5/RPS4X/SSR2/RPL37A/RPL22L1/UBA52/RPL15/RPS16/FAU/RPS3A/SSR1/RPL10A/RPS13/RPL17/RPL36AL/RPS9/RPL6/RPL18/RPL3/RPL8/RPS5/RPL7A/RPN1/RPS2/RPL7/RPL11/RPL18A/RPL24/RPS6/RPL35A/RPL14/RPS3/SEC61G/RPS23/RPL29/SPCS1/RPS15A/RPL35/RPS8/RPL23A/RPL4/RPL19/RPS15/RPL23/RPL12/SSR3/SRP68/RPS25/RPS14/RPL13A/RPS26/RPL32/RPL9/SRP9/RPL28/RPLP0/RPL22/SRP14/RPL37/SRPRA/RPL27A/RPS7/SEC11A/RPS18/RPS12/RPL30/RPLP1/RPS27A/RPS29/RPL27/RPL38","EC_PTC","T1D_vs_LC"
"R-HSA-351202","Metabolism of polyamines",40,0.666443824632488,2.25795988676118,2.97835975987254e-07,3.13906424461558e-05,2.44783841056516e-05,1383,"tags=70%, list=26%, signal=52%","ODC1/PSMB5/PSMB3/PSMD6/PSMB6/PSMC4/PSMC6/PSMB7/PSMA4/PSMD2/PSMB1/PSMA6/PSMB2/ADRM1/PSMC3/PSMD14/PSMD7/PSMC5/PSMD3/PSMD13/AZIN1/PSMC2/PSMC1/PSMD8/OAZ1/PSMA7/PSMA2/PSMA3","EC_PTC","T1D_vs_LC"
