"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellType","Condition"
"R-HSA-72766","Translation",326,0.375339024281331,1.88182374220956,1.25279942574477e-08,1.5923080701216e-05,1.45588480633918e-05,2545,"tags=49%, list=31%, signal=35%","MRPS6/MRPL10/PSMD13/MRPL34/UFD1/MRPL9/MRPS18B/MRPL49/MRPL21/SSR3/MRPL36/PSMC1/EIF3F/PPA1/PSMB5/MTRES1/EIF4H/MRPL11/PSMA7/MRPL35/MRPS26/PSMB7/MRPS18C/MRPL15/MTRF1L/RPS27L/EIF3I/MRPS24/PSMA6/MRPS22/RPL27A/EIF3B/NDUFAB1/MT-ATP8/PSMD8/MRPS18A/MRPL47/EIF3K/PSMD7/TSFM/MRPL39/PSMB2/SEC11A/MRPS23/MRPS7/ETF1/MRPS2/MRPS30/MRPL14/PSMC5/PSMD3/LTN1/MRPS5/RPS4X/RPL7A/SSR4/MRPS34/RPS9/GSPT1/SEC61A1/MRPL32/RPL5/RPL26/RPL26L1/PSMA1/EEF1B2/RPS2/SRPRB/RPS16/RPL3/RPS5/RPL29/SRP14/EEF1D/MRPL46/MRPS14/SRPRA/MRPS35/SEC61B/EEF1E1/RPL14/RPS19/MRPL19/MRPL2/MT-ND5/PSMD14/MRPL54/PSMA3/ADRM1/EIF4A1/RPL23A/PSMB1/MT-CYB/RPL18A/EIF2B4/EEF1A1/UBC/MRPL40/MT-ND2/SRP72/RCHY1/MT-ND4L/SRP54/PSMA2/RPS6/MT-ND1/SPCS1/RPL8/RPS27A/UBE2D1/TRAM1/MT-ATP6/MRPS12/GFM1/MRPL42/RPL10/RPS18/MT-ND6/ELOB/RPS3A/GADD45GIP1/HBS1L/RPS14/ELOC/RPS23/PSMC6/MT-CO1/RPL13/RPL10A/EEF1G/RPS12/PSMD11/TCF25/DDOST/RPS10/RPSA/MT-ND4/RPS7/RPL32/CHCHD1/RPLP0/EIF3H/RPL30/AURKAIP1/RPL18/SPCS3/MRPS17/RPS3/SRP9/RPS13/MT-CO3/RPL27/APEH/SEC11C/MT-CO2/EIF2S3/RPL19/RPL28/RPS15A","PC","T1D_vs_LC"
"R-HSA-1236974","ER-Phagosome pathway",60,0.566233006740186,2.18560685110059,5.77555995755593e-06,0.00306404759999999,0.00280153095399394,2267,"tags=55%, list=27%, signal=40%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/S100A1/STX4/PSMA6/PSME2/PSMB8/PSMD8/PSMD7/PSMB2/PSMC5/PSMD3/SEC22B/SEC61A1/PSMA1/SEC61B/PSMD14/VAMP3/PSMA3/ADRM1/PSMB1/UBC/CALR/PSMA2/HLA-C/VAMP8/RPS27A/PSMC6/IKBKB/PSMD11","PC","T1D_vs_LC"
"R-HSA-1236975","Antigen processing-Cross presentation",65,0.530405184917965,2.08286608543192,1.44644261211644e-05,0.00306404759999999,0.00280153095399394,2267,"tags=52%, list=27%, signal=38%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/S100A1/STX4/PSMA6/PSME2/PSMB8/PSMD8/PSMD7/PSMB2/PSMC5/PSMD3/SEC22B/SEC61A1/PSMA1/SEC61B/PSMD14/VAMP3/PSMA3/ADRM1/PSMB1/UBC/CALR/PSMA2/HLA-C/VAMP8/RPS27A/PSMC6/IKBKB/CTSL/PSMD11","PC","T1D_vs_LC"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",108,0.460110058965539,1.99645218461138,1.26155575906985e-05,0.00306404759999999,0.00280153095399394,2829,"tags=65%, list=34%, signal=43%","SSR3/RPS27L/RPL27A/SEC11A/RPS4X/RPL7A/SSR4/RPS9/SEC61A1/RPL5/RPL26/RPL26L1/RPS2/SRPRB/RPS16/RPL3/RPS5/RPL29/SRP14/SRPRA/SEC61B/RPL14/RPS19/RPL23A/RPL18A/SRP72/SRP54/RPS6/SPCS1/RPL8/RPS27A/TRAM1/RPL10/RPS18/RPS3A/RPS14/RPS23/RPL13/RPL10A/RPS12/DDOST/RPS10/RPSA/RPS7/RPL32/RPLP0/RPL30/RPL18/SPCS3/RPS3/SRP9/RPS13/RPL27/SEC11C/RPL19/RPL28/RPS15A/RPL36AL/RPS15/RPS25/RPL37/RPN1/RPL31/RPS24/RPL15/RPLP1/SPCS2/RPL17/RPL34/RPL35A","PC","T1D_vs_LC"
"R-HSA-9948299","Ribosome-associated quality control",139,0.430882404495371,1.92826257999008,7.87545372031763e-06,0.00306404759999999,0.00280153095399394,2938,"tags=63%, list=36%, signal=42%","PSMD13/UFD1/PSMC1/PSMB5/PSMA7/PSMB7/RPS27L/PSMA6/RPL27A/PSMD8/PSMD7/PSMB2/PSMC5/PSMD3/LTN1/RPS4X/RPL7A/RPS9/RPL5/RPL26/RPL26L1/PSMA1/RPS2/RPS16/RPL3/RPS5/RPL29/RPL14/RPS19/PSMD14/PSMA3/ADRM1/RPL23A/PSMB1/RPL18A/UBC/RCHY1/PSMA2/RPS6/RPL8/RPS27A/UBE2D1/RPL10/RPS18/ELOB/RPS3A/HBS1L/RPS14/ELOC/RPS23/PSMC6/RPL13/RPL10A/RPS12/PSMD11/TCF25/RPS10/RPSA/RPS7/RPL32/RPLP0/RPL30/RPL18/RPS3/RPS13/RPL27/RPL19/RPL28/RPS15A/RPL36AL/RPS15/RPS25/RPL37/RBX1/RPL31/PSMA5/RPS24/RPL15/PSMB3/RPLP1/RPL17/RPL34/UBE2D2/RPL35A/UBB/RPL11/RPL35/ANKZF1","PC","T1D_vs_LC"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",144,0.425413780150487,1.92108185866561,1.11790534437191e-05,0.00306404759999999,0.00280153095399394,2892,"tags=60%, list=35%, signal=40%","PSMD13/ROBO2/EIF4A3/PSMC1/PSMB5/PSMA7/PSMB7/RPS27L/PSMA6/RPL27A/PSMD8/PSMD7/PSMB2/ETF1/PSMC5/PSMD3/RPS4X/RPL7A/RPS9/GSPT1/NCBP1/RPL5/RPL26/RPL26L1/PSMA1/RPS2/RPS16/RPL3/RPS5/RPL29/LDB1/RPL14/RPS19/PSMD14/PSMA3/ADRM1/RPL23A/PSMB1/RPL18A/UBC/PSMA2/RPS6/RPL8/RPS27A/RPL10/RPS18/ELOB/RPS3A/NCBP2/RPS14/ELOC/RPS23/PSMC6/RPL13/RPL10A/RPS12/PSMD11/RPS10/RPSA/RPS7/RPL32/RPLP0/RPL30/RPL18/RPS3/RPS13/RPL27/RPL19/RPL28/RPS15A/RPL36AL/RPS15/RPS25/RPL37/RBX1/RPL31/PSMA5/RPS24/RPL15/PSMB3/RPLP1/RPL17/RPL34/RPL35A/UBB/MAGOH/RPL11","PC","T1D_vs_LC"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide",100,0.470034500497787,1.9898112357209,1.85922329617143e-05,0.00337581829919126,0.00308659025409512,2938,"tags=65%, list=36%, signal=42%","PSMD13/UFD1/PSMC1/PSMB5/PSMA7/PSMB7/PSMA6/RPL27A/PSMD8/PSMD7/PSMB2/PSMC5/PSMD3/LTN1/RPL7A/RPL5/RPL26/RPL26L1/PSMA1/RPL3/RPL29/RPL14/PSMD14/PSMA3/ADRM1/RPL23A/PSMB1/RPL18A/UBC/RCHY1/PSMA2/RPL8/RPS27A/UBE2D1/RPL10/ELOB/ELOC/PSMC6/RPL13/RPL10A/PSMD11/TCF25/RPL32/RPLP0/RPL30/RPL18/RPL27/RPL19/RPL28/RPL36AL/RPL37/RBX1/RPL31/PSMA5/RPL15/PSMB3/RPLP1/RPL17/RPL34/UBE2D2/RPL35A/UBB/RPL11/RPL35/ANKZF1","PC","T1D_vs_LC"
"R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint",45,0.581724029884482,2.14166694445889,4.61800508994887e-05,0.00733685558665627,0.00670826002539942,1998,"tags=53%, list=24%, signal=41%","PSMD13/TUBA1A/PSMC1/MAPRE1/PSMB5/PSMA7/TUBA4A/PSMB7/PSMA6/TUBA1B/PSMD8/PSMD7/PSMB2/TUBB4B/PSMC5/PSMD3/PSMA1/PSMD14/PSMA3/ADRM1/PSMB1/UBC/PSMA2/RPS27A","PC","T1D_vs_LC"
"R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas",19,0.727257866505837,2.18605325851444,0.000205442473813543,0.0122041604616873,0.011158551616798,104,"tags=16%, list=1%, signal=16%","AQP1/TFPI2/FGF2","PC","T1D_vs_LC"
"R-HSA-5678895","Defective CFTR causes cystic fibrosis",46,0.569407286788572,2.1056381304316,0.000154047631147115,0.0122041604616873,0.011158551616798,1998,"tags=50%, list=24%, signal=38%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/PSMA6/PSMD8/RNF5/PSMD7/ERLIN2/PSMB2/DERL2/PSMC5/PSMD3/PSMA1/PSMD14/PSMA3/ADRM1/DERL1/PSMB1/UBC/PSMA2/RPS27A","PC","T1D_vs_LC"
"R-HSA-9734767","Developmental Cell Lineages",41,0.584259421861105,2.09856054787249,0.000233568526776112,0.0122041604616873,0.011158551616798,104,"tags=12%, list=1%, signal=12%","AQP1/SLPI/VIM/TFPI2/FGF2","PC","T1D_vs_LC"
"R-HSA-5362768","Hh mutants are degraded by ERAD",42,0.575998041074345,2.08461048278872,0.000239872045128042,0.0122041604616873,0.011158551616798,2267,"tags=55%, list=27%, signal=40%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/PSMA6/PSMD8/PSMD7/PSMB2/DERL2/PSMC5/PSMD3/PSMA1/SYVN1/PSMD14/PSMA3/ADRM1/PSMB1/UBC/PSMA2/RPS27A/PSMC6/PSMD11","PC","T1D_vs_LC"
"R-HSA-5358346","Hedgehog ligand biogenesis",45,0.551479426935882,2.03031884285793,0.000199755736595547,0.0122041604616873,0.011158551616798,2267,"tags=51%, list=27%, signal=37%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/PSMA6/PSMD8/PSMD7/PSMB2/DERL2/PSMC5/PSMD3/PSMA1/SYVN1/PSMD14/PSMA3/ADRM1/PSMB1/UBC/PSMA2/RPS27A/PSMC6/PSMD11","PC","T1D_vs_LC"
"R-HSA-5619084","ABC transporter disorders",50,0.536409352111538,2.02257914686853,0.000160145207176884,0.0122041604616873,0.011158551616798,1998,"tags=50%, list=24%, signal=38%","PSMD13/PSMC1/PSMB5/PSMA7/PSMB7/PSMA6/PSMD8/RNF5/PSMD7/ERLIN2/PSMB2/DERL2/PSMC5/PSMD3/ABCA3/PSMA1/PSMD14/PSMA3/ADRM1/DERL1/PSMB1/ABCD4/UBC/PSMA2/RPS27A","PC","T1D_vs_LC"
