"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellType","Condition"
"R-HSA-72766","Translation",297,0.388722207795938,1.92902955074483,4.05292744976325e-09,4.89188343186425e-06,4.68433088404216e-06,2090,"tags=53%, list=31%, signal=38%","MRPL38/MRPS6/PSMD6/MRPS7/SRP68/MRPS12/MRPS14/MRPS28/PSMB5/ABCE1/MRPL32/EIF3B/MRPL36/MRPS33/MRPL14/EIF2B2/MRPL47/AIMP1/AURKAIP1/PSMD13/MRPS27/PPA1/MT-ND6/PSMD7/MALSU1/EIF3H/UFD1/MRPS35/MRPL28/EIF4E/EEF1G/MRPS16/MRPL9/RPL7A/PSMB6/RPL36AL/MRPS26/EIF3F/RPSA/MRPL3/RPN1/MRPL17/EIF3K/MTRES1/MRPL18/EEF2/RPL3/RPS6/DDOST/MRPS24/EIF4B/RPS2/EIF4A1/PSMD3/SSR2/RPL28/PSMA5/RPS9/MRPS9/VCP/TUFM/RPN2/PSMC5/RPS4X/SEC61A1/EIF4G1/EIF3D/EIF4H/MRPS25/RPL8/EIF5/EIF3I/PSMC1/UBC/MRPL54/RPS27A/PSMB3/PSMA4/MRPL51/MRPL34/UBE2D1/GADD45GIP1/RPS3A/RPS18/RPS14/MT-ATP8/RPL11/RPS13/PSMD2/MRPL13/SRP14/EEF1A1/CHCHD1/RPL12/RPL31/EEF1E1/RPS23/RPL37/EIF3J/MRPS15/SEM1/MT-CYB/MRPS5/TRIP4/EEF1B2/PSMA7/SEC11A/MT-ND5/RPL18A/TCF25/RPL29/MT-ND2/GSPT1/RPL37A/RPS3/PSMD8/SRP54/MT-ATP6/RPL10/RPL19/MRPL40/MT-ND1/PELO/RPS7/PPA2/MRPL41/RPL17/RPL5/PSMB2/MT-CO1/MTRF1L/RPL13/MT-ND4L/RPS19/MRPL19/RPL14/MT-CO2/RPL15/MT-ND4/RPS8/MT-CO3/RPL9/PSMC3/SRP9/MRPL22/RPL32/RPL4/TRMT112/RPS12/RPL30/RPL22/EIF2S1/PSMC4/RPS15/MRPL55/RPS29","VSMC_P","T1D_vs_LC"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport",186,0.40902246536997,1.9175396687692,1.12940407679852e-06,0.000681595360347909,0.000652676671749884,1970,"tags=51%, list=29%, signal=37%","PDK2/PDHA1/PKM/IDH2/LDHA/COA3/COX5A/CYC1/MDH1/UQCRH/UQCC3/MPC2/RAB5IF/ATP5PD/NDUFA8/NDUFB5/NDUFS3/SLC25A27/SUCLG1/MT-ND6/SDHA/TIMMDC1/NDUFB3/NDUFV2/SDHC/COX4I2/NDUFB6/COX11/SDHD/NDUFS8/LDHB/IDH3B/NDUFV3/ETFB/NDUFAF4/IDH3G/COX14/ATP5F1D/NDUFV1/PNKD/UBC/RPS27A/SLC25A11/DLD/SURF1/TMEM223/ATP5PO/NDUFB8/PDHX/COX19/MT-ATP8/NDUFB11/COX4I1/SUCLA2/PET100/COX5B/RMND5B/NDUFA12/ATP5MC2/MT-CYB/WDR26/NDUFB9/COX6B1/UQCRFS1/SDHAF2/NDUFS6/MT-ND5/UQCRQ/MT-ND2/HAGH/ACO2/COX6A1/COX7C/NUBPL/ISCA1/MT-ATP6/MT-ND1/HIGD2A/VDAC1/NDUFC2/SDHB/MT-CO1/NDUFA6/ISCU/MT-CO2/IDH3A/ETFA/NDUFAF3/ATP5MF/MT-ND4/MT-CO3/ATP5PF/TMEM126B/MDH2/NDUFA2","VSMC_P","T1D_vs_LC"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",108,0.481324147320372,2.0970409732397,2.25677552943701e-06,0.000809122964712744,0.000774793542279329,2238,"tags=57%, list=33%, signal=39%","EIF3B/EIF3H/EIF4E/RPL7A/RPL36AL/EIF3F/RPSA/EIF3K/RPL3/RPS6/EIF4B/RPS2/EIF4A1/RPL28/RPS9/RPS4X/EIF4G1/EIF3D/EIF4H/RPL8/EIF3I/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/RPL12/RPL31/RPS23/RPL37/EIF3J/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/EIF2S1/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0","VSMC_P","T1D_vs_LC"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",109,0.481701215899497,2.08838124836255,2.68143484577546e-06,0.000809122964712744,0.000774793542279329,2238,"tags=58%, list=33%, signal=40%","EIF3B/EIF3H/EIF4E/RPL7A/RPL36AL/EIF3F/RPSA/EIF3K/RPL3/RPS6/EIF4B/RPS2/EIF4A1/RPL28/RPS9/RPS4X/EIF4G1/EIF3D/EIF4H/RPL8/EIF5/EIF3I/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/RPL12/RPL31/RPS23/RPL37/EIF3J/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/EIF2S1/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0","VSMC_P","T1D_vs_LC"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",108,0.470175951609769,2.04847033053877,5.958855774102e-06,0.00119872315322352,0.00114786379648491,2617,"tags=73%, list=38%, signal=46%","SRP68/RPL7A/RPL36AL/RPSA/RPN1/RPL3/RPS6/DDOST/RPS2/SSR2/RPL28/RPS9/RPN2/RPS4X/SEC61A1/RPL8/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/SRP14/RPL12/RPL31/RPS23/RPL37/SEC11A/RPL18A/RPL29/RPL37A/RPS3/SRP54/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/SRP9/RPL32/RPL4/RPS12/RPL30/RPL22/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/SSR3/SPCS1/RPL41/RPL21/RPLP0/SSR1/RPS16/SRPRA/RPLP2/RPS10/RPL26/SRP19/RPS15A/RPS26/RPLP1/FAU/TRAM1/RPS28/RPL23/SSR4/RPL23A/SPCS2/RPL10A","VSMC_P","T1D_vs_LC"
"R-HSA-6798695","Neutrophil degranulation",235,0.365905247453681,1.77793035360506,5.37460450847251e-06,0.00119872315322352,0.00114786379648491,1634,"tags=40%, list=24%, signal=32%","CTSH/ARL8A/MLEC/PSMD6/PDXK/RHOG/CD36/PKM/PRDX4/DYNLT1/TUBB4B/GSDMD/TXNDC5/LAMTOR1/HEXB/NPC2/RAB5C/CRISPLD2/ASAH1/CTSB/NAPRT/ATP6V1D/CTSD/DNAJC3/CKAP4/VAMP8/GNS/PSMD13/IMPDH2/LAMP2/PSMD7/MOSPD2/GRN/COMMD3/CREG1/HLA-C/PTPRB/CAT/PRCP/NME2/BRI3/CYSTM1/S100A11/GDI2/EEF2/CAB39/FTL/DDOST/OSTF1/TMEM179B/PSMD3/IGF2R/FGL2/PPIA/PSMA5/CAPN1/DYNC1LI1/VCP/GCA/ILF2/GSTP1/B4GALT1/CST3/LAMTOR3/HEBP2/HUWE1/LGALS3/CTSA/ATP6AP2/NIT2/VAT1/CSTB/PRDX6/CYFIP1/STOM/HSPA8/MIF/PDAP1/PSMD2/PECAM1/SRP14/EEF1A1/CMTM6/CD63/CTSC/ACTR1B/LAMP1/ATP8A1/XRCC5/MVP/TMEM63A/DDX3X/FABP5/DPP7","VSMC_P","T1D_vs_LC"
"R-HSA-156842","Eukaryotic Translation Elongation",90,0.487183039785828,2.08232736417788,9.50571721958728e-06,0.00140446155369209,0.00134487313997638,2556,"tags=70%, list=37%, signal=44%","EEF1G/RPL7A/RPL36AL/RPSA/EEF2/RPL3/RPS6/RPS2/RPL28/RPS9/RPS4X/RPL8/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/EEF1A1/RPL12/RPL31/RPS23/RPL37/EEF1B2/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0/RPS16/RPLP2/RPS10/RPL26/RPS15A/RPS26/RPLP1/FAU/RPS28/RPL23","VSMC_P","T1D_vs_LC"
"R-HSA-72689","Formation of a pool of free 40S subunits",98,0.483526556551867,2.08105925632645,8.53484789767245e-06,0.00140446155369209,0.00134487313997638,2556,"tags=68%, list=37%, signal=43%","EIF3B/EIF3H/RPL7A/RPL36AL/EIF3F/RPSA/EIF3K/RPL3/RPS6/RPS2/RPL28/RPS9/RPS4X/EIF3D/RPL8/EIF3I/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/RPL12/RPL31/RPS23/RPL37/EIF3J/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0/RPS16/RPLP2/RPS10/RPL26/RPS15A/RPS26/EIF3L/RPLP1/FAU/RPS28/RPL23","VSMC_P","T1D_vs_LC"
"R-HSA-72613","Eukaryotic Translation Initiation",114,0.456006401776127,2.01332422321857,1.16359697903238e-05,0.00140446155369209,0.00134487313997638,2238,"tags=56%, list=33%, signal=38%","EIF3B/EIF2B2/EIF3H/EIF4E/RPL7A/RPL36AL/EIF3F/RPSA/EIF3K/RPL3/RPS6/EIF4B/RPS2/EIF4A1/RPL28/RPS9/RPS4X/EIF4G1/EIF3D/EIF4H/RPL8/EIF5/EIF3I/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/RPL12/RPL31/RPS23/RPL37/EIF3J/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/EIF2S1/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0","VSMC_P","T1D_vs_LC"
"R-HSA-72737","Cap-dependent Translation Initiation",114,0.456006401776127,2.01332422321857,1.16359697903238e-05,0.00140446155369209,0.00134487313997638,2238,"tags=56%, list=33%, signal=38%","EIF3B/EIF2B2/EIF3H/EIF4E/RPL7A/RPL36AL/EIF3F/RPSA/EIF3K/RPL3/RPS6/EIF4B/RPS2/EIF4A1/RPL28/RPS9/RPS4X/EIF4G1/EIF3D/EIF4H/RPL8/EIF5/EIF3I/RPS27A/RPS3A/RPS18/RPS14/RPL11/RPS13/RPL12/RPL31/RPS23/RPL37/EIF3J/RPL18A/RPL29/RPL37A/RPS3/RPL10/RPL19/RPS7/RPL17/RPL5/RPL13/RPS19/RPL14/RPL15/RPS8/RPL9/RPL32/RPL4/RPS12/RPL30/RPL22/EIF2S1/RPS15/RPS29/RPL34/RPL18/RPL27A/RPS27L/RPL41/RPL21/RPLP0","VSMC_P","T1D_vs_LC"
